id,Chlorophyll,Temp
968,0.910070658,-9999
969,0.800314128,-9999
970,1.30554664,-9999
971,-32767,29.1625004
972,1.33009553,29.6000004
973,0.651955903,-9999
974,3.31677246,28.1625004
975,2.06126428,-9999
976,2.57544231,28.1000004
977,1.1807003,-9999
978,1.88617837,-9999
979,1.46411312,27.6000004
980,1.31253302,-9999
981,0.266701311,27.6625004
982,2.05504131,-9999
983,-32767,28.2875004
984,1.85831475,-9999
985,0.521314085,27.9750004
986,4.2155056,28.2250004
987,2.98436403,27.8500004
988,1.74482381,27.5375004
989,3.05563021,27.6625004
990,2.24285722,27.4750004
991,1.91421819,-9999
992,1.6071825,28.4125004
993,1.18384898,-9999
994,1.54574811,28.5375004
995,-32767,27.9125004
996,1.34244311,27.2875004
997,1.0267607,27.6625004
998,0.331791013,-9999
999,0.799880207,27.4125004
1000,1.4777596,-9999
1001,1.91398025,27.9125004
1002,1.72123814,28.4750004
1003,1.54428852,27.7250004
1004,0.968546152,-9999
1005,1.02131999,-9999
1006,1.07987559,-9999
1007,-32767,-9999
1008,1.4209547,-9999
1009,2.2266376,-9999
1010,1.06689191,27.6625004
1011,1.95393944,28.4125004
1012,1.40631211,27.3500004
1013,2.06082177,-9999
1014,1.81995308,-9999
1015,1.67922103,-9999
1016,1.13438654,-9999
1017,1.05123305,27.1000004
1018,1.02422082,27.9750004
1019,-32767,27.8500004
1020,1.27330136,28.0375004
1021,0.955423057,-9999
1022,1.37212443,27.8500004
1023,2.69077063,-9999
1024,1.83885372,28.1625004
1025,3.19168353,-9999
1026,1.68077278,27.7875004
1027,1.76656616,27.6000004
1028,1.36667538,27.1625004
1029,0.993858159,27.7875004
1030,0.664650619,-9999
1031,1.56784964,27.4125004
1032,0.894922435,-9999
1033,2.47473025,27.1625004
1034,1.21618807,27.7875004
1035,1.28183365,26.9750004
1036,1.30453074,27.6625004
1037,1.25149953,26.8500004
1038,1.62457144,28.1000004
1039,1.66289639,-9999
1040,1.42934608,28.4750004
1041,0.831999779,-9999
1042,0.899128795,27.6000004
1043,1.17002392,28.0375004
1044,-32767,28.1625004
1045,3.85400486,28.3500004
